timestamp,cpu_percent,memory_percent,memory_used_mb,server_cpu,server_mem_mb,db_connections,net_sent_mb,net_recv_mb
2026-01-07T18:34:55.476791,30.0,20.6,3301.484375,0.0,32.875,19,0.0,0.0
2026-01-07T18:34:56.549691,79.4,21.1,3375.203125,0.0,32.875,19,0.22934341430664062,0.3485603332519531
2026-01-07T18:34:57.758021,77.5,21.4,3419.015625,0.0,32.875,19,0.29189109802246094,0.3972969055175781
2026-01-07T18:34:58.951582,27.4,21.8,3484.57421875,0.0,32.875,19,0.46276092529296875,0.4393424987792969
2026-01-07T18:35:00.001200,12.0,21.9,3505.30078125,0.0,32.875,19,0.4869050979614258,0.48117637634277344
2026-01-07T18:35:01.093239,13.8,21.9,3501.76953125,0.0,32.875,19,0.836216926574707,0.8084602355957031
2026-01-07T18:35:02.146966,3.1,21.9,3501.9609375,0.0,32.875,19,0.8452730178833008,0.8260364532470703
2026-01-07T18:35:03.201894,8.9,21.9,3502.1015625,0.0,32.875,19,0.8688516616821289,0.8542366027832031
2026-01-07T18:35:04.252735,2.1,21.9,3496.5078125,0.0,32.875,19,0.8782854080200195,0.8725805282592773
2026-01-07T18:35:05.302855,1.9,21.8,3487.6953125,0.0,32.875,19,0.8877334594726562,0.8929738998413086
2026-01-07T18:35:06.357765,4.5,21.8,3489.7265625,0.0,32.875,19,0.9059858322143555,0.9253759384155273
2026-01-07T18:35:07.404200,4.3,21.8,3494.2421875,0.0,32.875,19,0.9292774200439453,0.9551515579223633
2026-01-07T18:35:08.452068,3.1,21.9,3497.78515625,0.0,32.875,19,0.9857234954833984,0.9999675750732422
2026-01-07T18:35:09.502285,2.1,21.9,3502.21484375,0.0,32.875,19,0.9942903518676758,1.0173721313476562
2026-01-07T18:35:10.553895,2.2,21.9,3495.5546875,0.0,32.875,19,1.015939712524414,1.0437602996826172
2026-01-07T18:35:11.599209,2.9,21.9,3496.87890625,0.0,32.875,19,1.0245895385742188,1.0600433349609375
2026-01-07T18:35:12.655591,2.4,21.8,3491.2109375,0.0,32.875,19,1.0337333679199219,1.0806951522827148
2026-01-07T18:35:13.713026,2.1,21.8,3490.67578125,0.0,32.875,19,1.0419950485229492,1.0988874435424805
2026-01-07T18:35:14.765501,2.1,21.8,3490.53515625,0.0,32.875,19,1.0505237579345703,1.1168498992919922
2026-01-07T18:35:15.813101,2.1,21.8,3490.734375,0.0,32.875,19,1.0594367980957031,1.1387195587158203
2026-01-07T18:35:16.863076,2.4,21.8,3492.39453125,0.0,32.875,19,1.0684881210327148,1.1562604904174805
2026-01-07T18:35:17.913108,3.8,21.8,3491.453125,0.0,32.875,19,1.1912040710449219,1.1858863830566406
2026-01-07T18:35:18.963881,2.4,21.8,3489.41796875,0.0,32.875,19,1.246755599975586,1.2171401977539062
2026-01-07T18:35:20.024690,1.9,21.8,3491.7734375,0.0,32.875,19,1.2552757263183594,1.2422447204589844
2026-01-07T18:35:21.073919,2.1,21.4,3430.28125,0.0,32.875,19,1.264312744140625,1.2629222869873047
2026-01-07T18:35:22.124357,3.1,21.4,3422.7265625,0.0,32.875,19,1.2727651596069336,1.2810773849487305
2026-01-07T18:35:23.176416,1.9,21.4,3428.60546875,0.0,32.875,19,1.281907081604004,1.3017282485961914
2026-01-07T18:35:24.227869,1.7,21.4,3427.984375,0.0,32.875,19,1.2905311584472656,1.323312759399414
2026-01-07T18:35:25.283206,2.1,21.4,3427.60546875,0.0,32.875,19,1.2993593215942383,1.3531084060668945
2026-01-07T18:35:26.334345,1.9,21.4,3427.9140625,0.0,32.875,19,1.3080205917358398,1.3777093887329102
2026-01-07T18:35:27.385386,3.1,21.4,3428.00390625,0.0,32.875,19,1.3191652297973633,1.4026002883911133
2026-01-07T18:35:28.439480,3.6,21.4,3423.54296875,0.0,32.875,19,1.5030641555786133,1.4546575546264648
2026-01-07T18:35:29.498258,2.1,21.3,3412.453125,0.0,32.875,19,1.511631965637207,1.4723701477050781
2026-01-07T18:35:30.547336,1.9,21.3,3413.3203125,0.0,32.875,19,1.5206670761108398,1.4984235763549805
2026-01-07T18:35:31.599037,2.6,21.3,3409.73046875,0.0,32.875,19,1.5295934677124023,1.518545150756836
2026-01-07T18:35:32.647617,1.7,21.3,3408.09765625,0.0,32.875,19,1.5380535125732422,1.5348482131958008
2026-01-07T18:35:33.699814,1.9,21.3,3407.5546875,0.0,32.875,19,1.5474662780761719,1.582352638244629
2026-01-07T18:35:34.768321,2.8,21.3,3411.3125,0.0,32.875,19,1.555750846862793,1.5992231369018555
2026-01-07T18:35:35.819661,1.9,21.3,3411.55859375,0.0,32.875,19,1.5648193359375,1.6166572570800781
2026-01-07T18:35:36.871804,2.6,21.3,3412.171875,0.0,32.875,19,1.5738105773925781,1.6335535049438477
2026-01-07T18:35:37.927236,4.8,21.3,3413.58984375,0.0,32.875,19,1.708998680114746,1.6621465682983398
2026-01-07T18:35:38.983023,1.9,21.4,3418.47265625,0.0,32.875,19,1.7176933288574219,1.677886962890625
2026-01-07T18:35:40.039903,1.9,21.3,3412.3125,0.0,32.875,19,1.7266483306884766,1.6967401504516602
2026-01-07T18:35:41.089701,1.9,21.3,3412.63671875,0.0,32.875,19,1.7389764785766602,1.7175359725952148
2026-01-07T18:35:42.145611,2.8,21.3,3412.890625,0.0,32.875,19,1.7474374771118164,1.7339916229248047
2026-01-07T18:35:43.196960,1.9,21.3,3409.59765625,0.0,32.875,19,1.7561273574829102,1.7514886856079102
2026-01-07T18:35:44.250792,1.9,21.3,3411.5390625,0.0,32.875,19,1.7654399871826172,1.7713088989257812
2026-01-07T18:35:45.302604,2.1,21.3,3413.11328125,0.0,32.875,19,1.7747554779052734,1.7903432846069336
2026-01-07T18:35:46.360652,2.1,21.3,3412.95703125,0.0,32.875,19,1.783620834350586,1.8058032989501953
2026-01-07T18:35:47.412018,3.6,21.4,3415.91796875,0.0,32.875,19,1.7924318313598633,1.8253602981567383
2026-01-07T18:35:48.462240,2.6,21.3,3413.76953125,0.0,32.875,19,1.8775768280029297,1.869180679321289
2026-01-07T18:35:49.520115,2.1,21.4,3419.26953125,0.0,32.875,19,1.8860969543457031,1.8854045867919922
2026-01-07T18:35:50.573033,8.1,21.5,3440.80859375,0.0,32.875,19,1.8949193954467773,1.9057579040527344
2026-01-07T18:35:51.627769,4.0,21.5,3441.06640625,0.0,32.875,19,1.9043502807617188,1.923187255859375
2026-01-07T18:35:52.677898,1.9,21.4,3426.01953125,0.0,32.875,19,1.9130849838256836,1.9402637481689453
2026-01-07T18:35:53.727366,1.9,21.4,3417.88671875,0.0,32.875,19,1.9215211868286133,1.9608831405639648
2026-01-07T18:35:54.789342,2.6,21.3,3413.26953125,0.0,32.875,19,1.930729866027832,1.9815483093261719
2026-01-07T18:35:55.840617,2.6,21.4,3419.734375,0.0,32.875,19,1.9404335021972656,2.006561279296875
2026-01-07T18:35:56.889745,2.4,21.4,3416.7890625,0.0,32.875,19,1.9495763778686523,2.0250444412231445
2026-01-07T18:35:57.942803,3.8,21.4,3421.20703125,0.0,32.875,18,2.0877294540405273,2.0722475051879883
2026-01-07T18:35:58.992959,2.6,21.4,3416.33203125,0.0,32.875,18,2.146900177001953,2.0978851318359375
2026-01-07T18:36:00.041955,1.7,21.3,3412.41015625,0.0,32.875,18,2.156247138977051,2.1183061599731445
2026-01-07T18:36:01.095495,2.4,21.3,3412.28125,0.0,32.875,18,2.165254592895508,2.1345949172973633
2026-01-07T18:36:02.157141,2.8,21.3,3412.39453125,0.0,32.875,18,2.173847198486328,2.1494617462158203
2026-01-07T18:36:03.218795,2.6,21.4,3416.8671875,0.0,32.875,18,2.1825122833251953,2.1734304428100586
2026-01-07T18:36:04.272136,2.4,21.4,3418.32421875,0.0,32.875,18,2.19107723236084,2.1922521591186523
2026-01-07T18:36:05.325116,2.1,21.4,3417.82421875,0.0,32.875,18,2.2006750106811523,2.2124557495117188
2026-01-07T18:36:06.387309,2.4,21.4,3417.76953125,0.0,32.875,18,2.209710121154785,2.2301511764526367
2026-01-07T18:36:07.456201,3.8,21.4,3419.421875,0.0,32.875,18,2.21822452545166,2.24849796295166
2026-01-07T18:36:08.506006,3.8,21.4,3426.51953125,0.0,32.875,19,2.405989646911621,2.3230276107788086
2026-01-07T18:36:09.558054,4.5,21.4,3427.75390625,0.0,32.875,19,2.4144535064697266,2.3389816284179688
2026-01-07T18:36:10.605031,2.2,21.4,3423.16015625,0.0,32.875,19,2.428818702697754,2.3662023544311523
2026-01-07T18:36:11.654124,3.1,21.4,3423.09375,0.0,32.875,19,2.437922477722168,2.389230728149414
2026-01-07T18:36:12.712133,2.1,21.4,3418.78515625,0.0,32.875,19,2.446491241455078,2.409290313720703
2026-01-07T18:36:13.765206,2.1,21.4,3423.984375,0.0,32.875,19,2.455132484436035,2.427828788757324
2026-01-07T18:36:14.821695,1.9,21.4,3421.9921875,0.0,32.875,19,2.46408748626709,2.44710636138916
2026-01-07T18:36:15.874849,1.9,21.4,3421.9921875,0.0,32.875,19,2.4740962982177734,2.4638843536376953
2026-01-07T18:36:16.922947,2.2,21.4,3419.91796875,0.0,32.875,19,2.4828901290893555,2.481616973876953
2026-01-07T18:36:17.978313,2.6,21.4,3419.3359375,0.0,32.875,19,2.508183479309082,2.5060958862304688
2026-01-07T18:36:19.024687,1.9,21.3,3409.00390625,0.0,32.875,18,2.516887664794922,2.5222177505493164
2026-01-07T18:36:20.082491,2.6,21.3,3400.0,0.0,32.875,18,2.5261030197143555,2.5391416549682617
2026-01-07T18:36:21.134919,1.9,21.3,3400.40234375,0.0,32.875,18,2.535001754760742,2.560126304626465
2026-01-07T18:36:22.184954,2.6,21.3,3402.69921875,0.0,32.875,18,2.543630599975586,2.5799665451049805
2026-01-07T18:36:23.236430,2.4,21.3,3402.66796875,0.0,32.875,18,2.5525999069213867,2.603067398071289
2026-01-07T18:36:24.285940,1.9,21.3,3402.51171875,0.0,32.875,18,2.5611095428466797,2.625131607055664
2026-01-07T18:36:25.338320,9.2,21.1,3377.11328125,0.0,32.875,18,2.570319175720215,2.6524791717529297
2026-01-07T18:36:26.389344,6.7,21.1,3382.37890625,0.0,32.875,18,2.5791120529174805,2.673853874206543
2026-01-07T18:36:27.439364,3.3,21.1,3380.30859375,0.0,32.875,18,2.5876426696777344,2.6950454711914062
2026-01-07T18:36:28.488961,3.6,21.1,3376.53515625,0.0,32.875,19,2.7743005752563477,2.7454538345336914
2026-01-07T18:36:29.541211,2.1,21.1,3379.66796875,0.0,32.875,19,2.7829017639160156,2.7604026794433594
2026-01-07T18:36:30.591232,1.9,21.1,3379.734375,0.0,32.875,19,2.7919702529907227,2.779460906982422
2026-01-07T18:36:31.641517,2.6,21.2,3385.484375,0.0,32.875,19,2.800546646118164,2.798367500305176
2026-01-07T18:36:32.691888,1.9,21.2,3384.8125,0.0,32.875,19,2.809408187866211,2.8209962844848633
2026-01-07T18:36:33.741465,1.9,21.2,3385.109375,0.0,32.875,19,2.8181018829345703,2.844205856323242
2026-01-07T18:36:34.790548,2.2,21.2,3384.9609375,0.0,32.875,19,2.8266191482543945,2.872640609741211
2026-01-07T18:36:35.841300,1.9,21.2,3384.8046875,0.0,32.875,19,2.8358154296875,2.898064613342285
2026-01-07T18:36:36.908875,3.1,21.2,3386.328125,0.0,32.875,19,2.8444862365722656,2.918198585510254
2026-01-07T18:36:37.962388,2.6,21.2,3385.37890625,0.0,32.875,19,2.8842058181762695,2.9574718475341797
2026-01-07T18:36:39.017881,2.4,21.2,3384.30078125,0.0,32.875,19,2.8935489654541016,3.0057811737060547
2026-01-07T18:36:40.066914,1.9,21.2,3384.14453125,0.0,32.875,19,2.9028940200805664,3.028329849243164
2026-01-07T18:36:41.115927,1.9,21.2,3384.234375,0.0,32.875,19,2.9119033813476562,3.0449609756469727
2026-01-07T18:36:42.165295,2.6,21.2,3386.54296875,0.0,32.875,19,2.9201860427856445,3.0650711059570312
2026-01-07T18:36:43.216487,2.1,21.1,3381.1171875,0.0,32.875,19,2.9285688400268555,3.0860366821289062
2026-01-07T18:36:44.267855,1.7,21.1,3380.98046875,0.0,32.875,19,2.9369640350341797,3.104602813720703
2026-01-07T18:36:45.319767,1.9,21.1,3380.83984375,0.0,32.875,19,2.9460315704345703,3.1249771118164062
2026-01-07T18:36:46.367705,1.9,21.2,3385.35546875,0.0,32.875,19,2.954702377319336,3.1464710235595703
2026-01-07T18:36:47.422911,2.9,21.2,3385.453125,0.0,32.875,19,2.963362693786621,3.165165901184082
2026-01-07T18:36:48.469891,3.3,21.2,3385.4375,0.0,32.875,19,3.147045135498047,3.2102622985839844
2026-01-07T18:36:49.518303,1.7,21.1,3380.78515625,0.0,32.875,19,3.1557579040527344,3.2308759689331055
2026-01-07T18:36:50.579250,2.1,21.1,3380.828125,0.0,32.875,19,3.1654443740844727,3.250274658203125
2026-01-07T18:36:51.626564,2.6,21.2,3387.54296875,0.0,32.875,19,3.1741952896118164,3.2739219665527344
2026-01-07T18:36:52.674615,1.7,21.2,3386.5859375,0.0,32.875,19,3.1829586029052734,3.2930984497070312
2026-01-07T18:36:53.725175,1.9,21.2,3386.4765625,0.0,32.875,19,3.19173526763916,3.310978889465332
2026-01-07T18:36:54.776333,1.7,21.1,3380.3984375,0.0,32.875,19,3.199843406677246,3.334369659423828
2026-01-07T18:36:55.823804,1.7,21.1,3381.09765625,0.0,32.875,19,3.2090625762939453,3.3584604263305664
2026-01-07T18:36:56.871661,2.6,21.2,3383.328125,0.0,32.875,19,3.218128204345703,3.381136894226074
2026-01-07T18:36:57.919752,3.1,21.2,3383.7109375,0.0,32.875,19,3.3561458587646484,3.4234981536865234
2026-01-07T18:36:58.967698,1.7,21.2,3383.1640625,0.0,32.875,19,3.3645591735839844,3.4427928924560547
2026-01-07T18:37:00.017734,1.9,21.2,3382.79296875,0.0,32.875,19,3.373650550842285,3.469252586364746
2026-01-07T18:37:01.078245,2.6,21.2,3387.80859375,0.0,32.875,19,3.382658004760742,3.491304397583008
2026-01-07T18:37:02.130167,3.1,21.2,3389.86328125,0.0,32.875,19,3.3942575454711914,3.5153160095214844
2026-01-07T18:37:03.180731,1.9,21.2,3389.328125,0.0,32.875,19,3.402942657470703,3.533489227294922
2026-01-07T18:37:04.229962,1.7,21.2,3388.0,0.0,32.875,19,3.4116430282592773,3.5495920181274414
2026-01-07T18:37:05.281558,1.7,21.2,3387.70703125,0.0,32.875,19,3.420930862426758,3.5693225860595703
2026-01-07T18:37:06.340073,1.9,21.2,3387.30859375,0.0,32.875,19,3.4299449920654297,3.588033676147461
2026-01-07T18:37:07.393173,3.1,21.2,3388.65234375,0.0,32.875,19,3.4387588500976562,3.6103763580322266
2026-01-07T18:37:08.449475,3.1,21.1,3373.39453125,0.0,32.875,17,3.5093250274658203,3.637664794921875
2026-01-07T18:37:09.499567,1.7,21.1,3373.83984375,0.0,32.875,17,3.518033027648926,3.6531009674072266
2026-01-07T18:37:10.548395,1.4,21.1,3370.85546875,0.0,32.875,17,3.527092933654785,3.6712093353271484
2026-01-07T18:37:11.597110,2.6,21.1,3369.6171875,0.0,32.875,17,3.536062240600586,3.687422752380371
2026-01-07T18:37:12.648318,1.9,21.1,3370.03515625,0.0,32.875,17,3.5452213287353516,3.7063989639282227
2026-01-07T18:37:13.698014,1.9,21.0,3366.31640625,0.0,32.875,17,3.554035186767578,3.7239675521850586
2026-01-07T18:37:14.752906,1.7,21.1,3367.1796875,0.0,32.875,17,3.5633163452148438,3.746640205383301
2026-01-07T18:37:15.810080,2.4,21.1,3367.6640625,0.0,32.875,17,3.57528018951416,3.768911361694336
2026-01-07T18:37:16.858066,2.6,21.1,3368.73046875,0.0,32.875,17,3.5860042572021484,3.7913827896118164
2026-01-07T18:37:17.912747,3.8,21.1,3371.9296875,0.0,32.875,19,3.681033134460449,3.838357925415039
2026-01-07T18:37:18.961128,2.4,21.1,3371.2421875,0.0,32.875,19,3.782393455505371,3.8696470260620117
2026-01-07T18:37:20.011927,1.7,21.1,3371.1015625,0.0,32.875,19,3.7912397384643555,3.890453338623047
2026-01-07T18:37:21.070540,1.9,21.1,3369.3203125,0.0,32.875,19,3.8004684448242188,3.915816307067871
2026-01-07T18:37:22.121139,2.4,21.1,3373.35546875,0.0,32.875,19,3.809297561645508,3.934528350830078
2026-01-07T18:37:23.171212,2.1,21.1,3375.046875,0.0,32.875,19,3.818631172180176,3.952066421508789
2026-01-07T18:37:24.221137,1.9,21.1,3374.21484375,0.0,32.875,19,3.8272581100463867,3.9715518951416016
2026-01-07T18:37:25.269730,1.4,21.1,3374.2421875,0.0,32.875,19,3.8362226486206055,3.9929018020629883
2026-01-07T18:37:26.319980,1.9,21.1,3373.90625,0.0,32.875,19,3.8452682495117188,4.021711349487305
2026-01-07T18:37:27.368901,2.4,21.1,3373.30859375,0.0,32.875,19,3.8541650772094727,4.0444536209106445
2026-01-07T18:37:28.416610,2.6,21.1,3374.82421875,0.0,32.875,18,3.8946714401245117,4.089811325073242
2026-01-07T18:37:29.465872,1.9,21.1,3373.60546875,0.0,32.875,18,3.904250144958496,4.110276222229004
2026-01-07T18:37:30.517470,1.7,21.0,3363.68359375,0.0,32.875,18,3.913196563720703,4.129064559936523
2026-01-07T18:37:31.566930,2.4,21.0,3365.72265625,0.0,32.875,18,3.9223451614379883,4.153441429138184
2026-01-07T18:37:32.619022,1.9,21.0,3366.15625,0.0,32.875,18,3.9308080673217773,4.172344207763672
2026-01-07T18:37:33.674520,2.1,21.0,3365.19921875,0.0,32.875,18,3.93924617767334,4.188857078552246
2026-01-07T18:37:34.722345,2.4,21.0,3364.41015625,0.0,32.875,18,3.948521614074707,4.206354141235352
2026-01-07T18:37:35.777187,4.3,21.0,3365.58984375,0.0,32.875,18,3.9736852645874023,4.233803749084473
2026-01-07T18:37:36.823484,2.4,21.0,3365.8046875,0.0,32.875,18,3.986905097961426,4.255925178527832
2026-01-07T18:37:37.875651,3.3,21.0,3365.578125,0.0,32.875,19,4.110126495361328,4.279436111450195
2026-01-07T18:37:38.922380,1.9,21.1,3369.38671875,0.0,32.875,19,4.166196823120117,4.304605484008789
2026-01-07T18:37:39.972656,1.9,21.1,3369.23046875,0.0,32.875,19,4.175298690795898,4.321516990661621
2026-01-07T18:37:41.022210,1.9,21.1,3369.3125,0.0,32.875,19,4.184099197387695,4.34033203125
2026-01-07T18:37:42.071422,2.4,21.1,3371.12109375,0.0,32.875,19,4.192530632019043,4.3592939376831055
2026-01-07T18:37:43.121061,2.1,21.1,3371.66015625,0.0,32.875,19,4.201175689697266,4.376660346984863
2026-01-07T18:37:44.173067,1.7,21.1,3370.9609375,0.0,32.875,19,4.209749221801758,4.392701148986816
2026-01-07T18:37:45.225509,1.9,21.1,3372.66015625,0.0,32.875,19,4.218806266784668,4.414621353149414
2026-01-07T18:37:46.276373,1.9,21.1,3372.5078125,0.0,32.875,19,4.228489875793457,4.430316925048828
2026-01-07T18:37:47.324315,2.6,21.1,3371.3359375,0.0,32.875,19,4.2370500564575195,4.448112487792969
2026-01-07T18:37:48.375678,3.1,21.1,3369.96484375,0.0,32.875,19,4.42014217376709,4.494556427001953
2026-01-07T18:37:49.432516,2.1,21.1,3369.44140625,0.0,32.875,19,4.428718566894531,4.5163774490356445
2026-01-07T18:37:50.481058,1.9,21.1,3368.859375,0.0,32.875,19,4.437633514404297,4.533661842346191
2026-01-07T18:37:51.529280,2.6,21.1,3369.39453125,0.0,32.875,19,4.446505546569824,4.5532073974609375
2026-01-07T18:37:52.581481,2.1,21.1,3372.86328125,0.0,32.875,19,4.455472946166992,4.571260452270508
2026-01-07T18:37:53.629357,1.7,21.1,3372.72265625,0.0,32.875,19,4.463849067687988,4.588245391845703
2026-01-07T18:37:54.678442,3.3,21.1,3376.4453125,0.0,32.875,19,4.476387977600098,4.611691474914551
2026-01-07T18:37:55.729026,2.1,21.1,3375.92578125,0.0,32.875,19,4.491223335266113,4.641049385070801
2026-01-07T18:37:56.778720,3.8,21.1,3375.66015625,0.0,32.875,19,4.501873016357422,4.663415908813477
2026-01-07T18:37:57.828236,2.6,21.1,3375.98828125,0.0,32.875,19,4.526646614074707,4.68443489074707
2026-01-07T18:37:58.876538,1.9,21.1,3382.44140625,0.0,32.875,19,4.535585403442383,4.707679748535156
2026-01-07T18:37:59.925406,1.7,21.1,3378.59375,0.0,32.875,19,4.544321060180664,4.731740951538086
2026-01-07T18:38:00.973065,2.4,21.1,3380.0078125,0.0,32.875,19,4.553247451782227,4.751382827758789
2026-01-07T18:38:02.031190,2.8,21.1,3380.58984375,0.0,32.875,19,4.5619001388549805,4.767473220825195
2026-01-07T18:38:03.085886,1.9,21.1,3379.81640625,0.0,32.875,19,4.570661544799805,4.784675598144531
2026-01-07T18:38:04.138884,1.7,21.1,3377.87890625,0.0,32.875,19,4.579291343688965,4.806482315063477
2026-01-07T18:38:05.189019,1.9,21.1,3377.7734375,0.0,32.875,19,4.588501930236816,4.828037261962891
2026-01-07T18:38:06.238914,1.7,21.1,3377.62109375,0.0,32.875,19,4.597294807434082,4.845830917358398
2026-01-07T18:38:07.293801,2.9,21.1,3377.9765625,0.0,32.875,19,4.605956077575684,4.86578369140625
2026-01-07T18:38:08.342731,3.6,21.1,3377.60546875,0.0,32.875,19,4.790307998657227,4.912646293640137
2026-01-07T18:38:09.391864,1.9,21.1,3381.62890625,0.0,32.875,19,4.798935890197754,4.928086280822754
2026-01-07T18:38:10.447128,1.9,21.1,3381.6484375,0.0,32.875,19,4.80826473236084,4.945433616638184
2026-01-07T18:38:11.495664,2.4,21.1,3380.3828125,0.0,32.875,19,4.817134857177734,4.96395206451416
2026-01-07T18:38:12.545760,1.9,21.1,3375.9140625,0.0,32.875,19,4.825359344482422,4.984140396118164
2026-01-07T18:38:13.594325,1.9,21.1,3375.44921875,0.0,32.875,19,4.833941459655762,5.004819869995117
2026-01-07T18:38:14.643440,1.7,21.1,3375.69140625,0.0,32.875,19,4.84244441986084,5.023344039916992
2026-01-07T18:38:15.694577,1.9,21.1,3375.59375,0.0,32.875,19,4.851470947265625,5.039918899536133
2026-01-07T18:38:16.751549,2.6,21.1,3378.07421875,0.0,32.875,19,4.860320091247559,5.056933403015137
2026-01-07T18:38:17.805311,2.8,21.1,3376.53515625,0.0,32.875,18,4.888360977172852,5.080840110778809
2026-01-07T18:38:18.851606,1.9,21.1,3370.6328125,0.0,32.875,18,4.897426605224609,5.10353946685791
2026-01-07T18:38:19.901044,1.7,21.1,3370.7109375,0.0,32.875,18,4.9064483642578125,5.122194290161133
2026-01-07T18:38:20.952662,1.9,21.1,3372.0625,0.0,32.875,18,4.915254592895508,5.140130043029785
2026-01-07T18:38:22.002093,2.4,21.1,3372.97265625,0.0,32.875,18,4.923815727233887,5.160190582275391
2026-01-07T18:38:23.048008,1.9,21.1,3373.046875,0.0,32.875,18,4.9322099685668945,5.182714462280273
2026-01-07T18:38:24.099624,1.7,21.0,3365.66796875,0.0,32.875,18,4.940960884094238,5.206849098205566
2026-01-07T18:38:25.157256,1.9,21.1,3372.01953125,0.0,32.875,18,4.949936866760254,5.229436874389648
